,months,kandla,mumbai,chennai,kochi,vishakhapatnam,paradip
126,1989-07-16 09:00:00,100178.52146604573,100474.61289612675,100458.95142285185,100918.20474012138,100229.77623105916,100167.4525613527
127,1989-08-16 09:00:00,100315.05566184213,100574.85978056857,100465.19405848009,100991.36361403795,100153.5544644492,100106.02474349755
128,1989-09-15 21:00:00,100672.94670600118,100775.25440379274,100655.21733754368,100967.9546156612,100535.2121395423,100472.49896903089
129,1989-10-16 09:00:00,101066.71785612783,100997.63811791388,100853.63967032832,101007.58455210543,100837.65597366024,100803.71274896807
130,1989-11-15 21:00:00,101455.3865457098,101295.7620340134,101263.46179453481,101122.60768072002,101382.61009076535,101445.47906159874
131,1989-12-16 09:00:00,101596.17338211284,101391.51195461638,101443.94938571025,101207.9331434163,101569.28366290647,101637.84642732478
132,1990-01-16 09:00:00,101611.0700174435,101378.63364163857,101383.37492870959,101191.96715133025,101409.41482797789,101410.8311945413
133,1990-02-14 21:00:00,101343.69187851922,101240.9061570125,101200.51138262403,101128.75471160523,101257.38558197778,101291.99449895474
134,1990-03-16 09:00:00,101296.15861665116,101228.96618688294,101117.96199839204,101151.09081231023,101153.77482694788,101165.81394273686
135,1990-04-15 21:00:00,100846.37370985802,100874.1521990829,100730.61407063046,100868.45486458158,100718.1783722037,100664.18293789007
136,1990-05-16 09:00:00,100434.5120178002,100560.58988744221,100388.71734588873,100770.4989530561,100388.74567322,100383.51573968458
137,1990-06-15 21:00:00,100130.2516935647,100417.71745127456,100370.17710757368,100891.4637394042,100096.70859242673,99944.49167785698
138,1990-07-16 09:00:00,100075.95528135635,100488.53932036151,100551.46140494102,101036.49613458104,100265.59260053141,100030.85816997735
139,1990-08-16 09:00:00,100307.03548617681,100594.17193866067,100524.58584940032,101046.00349513795,100239.35795086063,100223.7672959139
140,1990-09-15 21:00:00,100604.38394158287,100793.36973213877,100681.90168359835,101028.17852193743,100532.91054387676,100472.3431687089
141,1990-10-16 09:00:00,101080.02107907468,101006.44791793829,100925.62295999727,101005.8707485637,100906.83839845003,100933.14740736538
142,1990-11-15 21:00:00,101371.34289475341,101186.23794858126,101076.67845398502,101070.64119150848,101097.5981881266,101185.30314664941
143,1990-12-16 09:00:00,101560.21891690066,101355.85846729892,101370.43287923642,101146.74964879337,101481.97882793783,101563.79878338966
144,1991-01-16 09:00:00,101621.79899416133,101376.14083648697,101362.6605677197,101170.72165287909,101435.76632789016,101495.26788721904
145,1991-02-14 21:00:00,101551.29580755116,101409.87868802741,101371.8386230506,101236.72433473404,101392.07850124175,101373.38246260473
146,1991-03-16 09:00:00,101155.42843491066,101065.50686271611,101061.22589477821,101020.13001894084,101068.05632253026,101010.20128933134
147,1991-04-15 21:00:00,100913.83524927327,100910.8537976573,100806.43217276983,100924.49694857934,100776.74158868434,100709.91741422261
148,1991-05-16 09:00:00,100701.05450045207,100791.62406034938,100651.14882459029,100824.60415577839,100602.80115194825,100514.46236938832
149,1991-06-15 21:00:00,100135.58785459235,100361.35314388362,100341.83561263981,100750.13868370707,100218.42759396983,100140.62657864168
150,1991-07-16 09:00:00,100023.3655908569,100345.9820257542,100430.86133298301,100938.1790495819,100095.96499998093,99911.8692149852
151,1991-08-16 09:00:00,100322.78548236194,100633.96829817611,100563.30931124397,101060.30879742841,100239.93157931881,100057.63812077502
152,1991-09-15 21:00:00,100872.55170486626,101001.32067097875,100746.65442196108,101080.71155777434,100644.0138780271,100622.127473706
153,1991-10-16 09:00:00,101014.13878837762,100926.33468419538,100765.21590577459,100924.40134383632,100800.90480225612,100840.89237125762
154,1991-11-15 21:00:00,101465.98096760412,101301.83116473761,101280.75208935764,101172.85328455703,101418.63891522211,101481.57516346726
155,1991-12-16 09:00:00,101543.53765970009,101387.37616425123,101386.9547951986,101192.14773806708,101489.7298939561,101555.90608071507
156,1992-01-16 09:00:00,101743.80126901713,101549.90422740261,101618.28286416768,101352.83452468604,101679.07331706927,101698.56606189822
157,1992-02-15 09:00:00,101509.9520675652,101387.868351632,101284.7533248993,101234.05802467841,101295.18132372241,101301.45582759831
158,1992-03-16 09:00:00,101400.3217546408,101249.39019272734,101171.63520931249,101158.76043725108,101124.69328048464,101043.32656233311
159,1992-04-15 21:00:00,101121.65163328972,101050.46859072911,100943.61789718541,101006.73119125096,100918.65797742168,100779.85405420742
160,1992-05-16 09:00:00,100665.73740019342,100770.55560771862,100607.65220742795,100868.07952744229,100554.42869289138,100499.59052047253
161,1992-06-15 21:00:00,100178.63477537083,100398.9293488109,100306.30251648024,100754.36299698244,100165.90163996574,100079.06420596302
162,1992-07-16 09:00:00,100103.36905619115,100414.52354467407,100483.60328288801,100963.01857818771,100286.78498523645,100146.2849630625
163,1992-08-16 09:00:00,100299.28442015857,100578.91412985633,100575.70605959021,101041.53131771399,100318.23186386058,100225.90246850824
