,months,kandla,mumbai,chennai,kochi,vishakhapatnam,paradip
94,15-11-1986 22:30,7.6414413,7.8811445,6.2523794,7.8535643,7.363742,9.228373
95,16-12-1986 10:30,5.714887,6.4199157,5.6500254,7.2806,6.043724,7.836477
96,16-01-1987 10:30,5.224261,5.8016806,5.5728936,6.529355,5.9062867,7.241071
97,14-02-1987 22:30,6.649928,6.476226,6.378984,7.128226,8.273268,9.358885
98,16-03-1987 10:30,6.542852,6.5022225,6.9111123,7.7019515,8.354462,8.011225
99,15-04-1987 22:30,7.081298,7.222356,6.5413604,8.367349,7.034665,7.23656
100,16-05-1987 10:30,7.212485,7.8161097,7.323304,8.944392,7.8952575,7.700877
101,15-06-1987 22:30,8.6649275,8.893384,6.13239,8.233989,7.2871413,7.833312
102,16-07-1987 10:30,8.062574,8.174493,6.427302,8.158043,7.148574,7.8192673
103,16-08-1987 10:30,7.644502,7.7511835,6.5157022,8.094013,7.0082474,7.565446
104,15-09-1987 22:30,7.64496,8.084696,6.807435,7.8489485,7.6155806,8.379831
105,16-10-1987 10:30,8.025362,8.385641,6.7555137,8.60336,8.312258,9.859024
106,15-11-1987 22:30,7.5537977,7.713206,6.367633,7.9758935,7.197052,8.1133175
107,16-12-1987 10:30,6.049685,6.317721,6.060215,7.4193473,6.2598453,8.074505
108,16-01-1988 10:30,6.109852,6.285695,5.80198,7.1867943,6.8476396,8.347379
109,15-02-1988 10:30,6.981576,7.0810423,5.9934626,7.719546,7.9729095,8.795469
110,16-03-1988 10:30,6.920409,7.0586853,6.152767,7.4416733,7.642671,7.5334077
111,15-04-1988 22:30,7.673285,8.372104,6.709787,8.780325,7.962043,8.03997
112,16-05-1988 10:30,6.937902,7.739637,6.5531282,8.087719,7.974841,8.205119
113,15-06-1988 22:30,8.25248,8.293441,6.3897147,8.387975,7.473115,8.255296
114,16-07-1988 10:30,8.707906,8.67746,6.7697616,8.677187,7.611646,8.102816
115,16-08-1988 10:30,8.341644,8.5616455,6.5715303,8.483297,7.614029,8.1191635
116,15-09-1988 22:30,7.598283,7.7831345,6.451319,7.4083796,7.4068046,7.7122407
117,16-10-1988 10:30,7.794299,8.026586,7.191153,8.44309,8.610697,9.2440405
118,15-11-1988 22:30,7.003601,6.980095,6.620313,8.216986,6.8301125,8.118616
119,16-12-1988 10:30,6.7832537,6.7728286,5.9946795,7.6387305,6.2787395,7.4917717
120,16-01-1989 10:30,5.9882407,5.9478264,5.6803794,7.1159334,6.630597,8.005924
121,14-02-1989 22:30,6.3623962,5.9723873,6.9195814,7.644606,7.739586,7.992997
122,16-03-1989 10:30,6.243458,6.2144227,6.8288918,7.796365,7.8688736,8.028051
123,15-04-1989 22:30,7.13253,7.379635,6.333879,8.063608,6.8360205,7.031685
124,16-05-1989 10:30,7.159446,7.307897,6.3012147,7.626377,7.3032455,7.677007
125,15-06-1989 22:30,8.588231,8.603876,6.2528806,8.063683,7.320661,8.07505
126,16-07-1989 10:30,8.399011,8.486396,7.039445,8.215507,7.613215,7.8716784
127,16-08-1989 10:30,7.969083,7.8933525,6.353364,7.902817,7.3544793,8.086281
128,15-09-1989 22:30,7.741626,7.928862,7.108674,8.055059,8.023599,8.421722
129,16-10-1989 10:30,7.275322,7.535426,7.3662186,8.08563,8.697095,9.144871
130,15-11-1989 22:30,7.1556053,7.227275,5.7782884,8.099688,6.428023,8.879825
131,16-12-1989 10:30,6.2743173,6.6097436,5.836541,7.6921935,6.50075,8.492775
132,16-01-1990 10:30,6.146524,5.8697524,7.0029345,8.039099,8.518447,8.989511
133,14-02-1990 22:30,6.453879,6.557528,5.910514,7.1514215,7.241601,8.463598
134,16-03-1990 10:30,7.3797693,7.650862,6.7223587,8.5908375,8.485092,8.985087
135,15-04-1990 22:30,6.5718985,7.1790495,6.46372,8.029816,7.3584733,7.231533
136,16-05-1990 10:30,7.501872,7.9190397,6.7538137,8.402621,8.261804,9.115053
137,15-06-1990 22:30,8.161081,8.394817,6.7140465,8.14252,7.3718705,7.9807615
138,16-07-1990 10:30,8.369354,8.304586,6.502649,8.234904,7.026838,7.6592317
139,16-08-1990 10:30,8.202242,8.114481,6.6420135,8.205265,7.77891,8.332412
140,15-09-1990 22:30,7.601126,7.75426,6.905099,7.937407,7.8527822,8.523758
141,16-10-1990 10:30,8.004423,8.209725,6.4154434,8.573881,7.6148443,9.298739
142,15-11-1990 22:30,7.0526023,7.221659,6.391366,7.970961,6.7809305,7.8263497
143,16-12-1990 10:30,6.6177344,6.721307,5.7502255,7.3259964,6.0684805,7.862937
144,16-01-1991 10:30,5.510272,5.603565,5.8553467,6.6664324,6.5732346,7.723485
145,14-02-1991 22:30,6.4135895,6.1292315,6.9085264,7.4973907,8.087217,8.481363
146,16-03-1991 10:30,6.923172,7.0897093,6.879663,7.9228897,8.258459,8.246866
147,15-04-1991 22:30,7.714074,8.338805,6.9595385,9.147855,8.477442,8.774889
148,16-05-1991 10:30,6.9634347,7.8112383,6.104518,8.629074,7.043297,7.1828184
149,15-06-1991 22:30,7.94279,8.192178,6.7100015,8.099195,7.5731974,7.777086
150,16-07-1991 10:30,8.681794,8.43313,6.491748,8.52191,7.35386,8.223827
151,16-08-1991 10:30,8.601847,8.529166,6.6856027,9.017568,7.5025597,8.713277
152,15-09-1991 22:30,7.8408346,8.429827,7.293981,8.681273,8.543856,9.196882
153,16-10-1991 10:30,8.218106,8.339238,7.134053,8.867039,8.800278,9.860131
154,15-11-1991 22:30,7.5225997,7.8883123,6.521699,8.375886,7.1963263,8.933749
155,16-12-1991 10:30,8.803685,8.19384,6.563178,8.991938,7.7990584,10.14617
156,16-01-1992 10:30,6.7497344,6.9023857,6.1102195,7.970894,8.064373,9.547075
157,15-02-1992 10:30,6.7406373,6.569931,5.903301,7.6591988,7.8211784,8.693716
158,16-03-1992 10:30,7.1864,6.967958,6.952292,8.833827,7.864351,8.413564
159,15-04-1992 22:30,6.9931717,7.0137763,6.580414,8.454025,7.696077,7.4506783
160,16-05-1992 10:30,7.71306,8.248724,7.1030273,9.238405,8.382304,8.677422
161,15-06-1992 22:30,8.372496,8.973993,7.2147207,8.589853,8.347142,8.522607
162,16-07-1992 10:30,9.119713,8.999431,6.366105,8.590109,7.6220465,8.44703
163,16-08-1992 10:30,8.889479,8.800936,6.869601,8.698786,7.7643137,8.672857
164,15-09-1992 22:30,7.61337,7.590487,7.920408,8.360541,8.43201,8.759776
165,16-10-1992 10:30,7.807664,8.373983,7.8054976,8.681358,9.131086,9.751286
166,15-11-1992 22:30,6.9894104,7.0445986,6.981412,8.280861,7.4306765,8.767222
167,16-12-1992 10:30,6.7188706,6.883352,5.7372975,7.6387587,6.507875,8.365748
168,16-01-1993 10:30,6.671956,6.0727973,6.2436666,7.5366426,7.8141756,8.857001
169,14-02-1993 22:30,6.5332923,6.4388304,6.51547,7.8814173,7.9253335,8.767064
170,16-03-1993 10:30,6.686858,7.3781137,5.905715,7.7205977,7.4339767,8.144682
171,15-04-1993 22:30,7.0354514,7.4155335,7.196088,9.363589,8.590681,8.725626
172,16-05-1993 10:30,6.7904654,7.681424,6.579141,8.579645,7.4702377,7.8087707
173,15-06-1993 22:30,9.001627,9.056452,6.8964553,8.547743,7.7004585,7.9554625
174,16-07-1993 10:30,9.068338,8.966719,6.6029115,8.753362,7.736717,8.527514
175,16-08-1993 10:30,8.499047,8.440692,7.1952043,8.57699,7.6770735,8.188744
176,15-09-1993 22:30,7.89094,8.078991,6.7699814,8.683654,8.030542,8.811523
177,16-10-1993 10:30,8.681421,8.641627,7.0503006,8.423005,8.436336,9.836514
178,15-11-1993 22:30,8.042122,7.708041,6.213004,8.389921,7.460911,9.898184
179,16-12-1993 10:30,7.4481115,8.056341,6.209662,8.913916,6.924882,9.50501
180,16-01-1994 09:00,6.8708954,6.997462,6.349027,8.01523,7.393902,8.938251
181,14-02-1994 21:00,6.896693,6.407748,6.7409377,7.294107,7.8762236,8.9333
182,16-03-1994 09:00,7.039916,7.3536057,6.548265,8.281682,7.6992903,7.560567
183,15-04-1994 21:00,6.9410605,7.737426,6.808352,8.58373,8.02351,8.294031
184,16-05-1994 09:00,7.0667467,7.792933,6.8393273,8.576736,8.016865,8.326913
185,15-06-1994 21:00,9.280255,9.12696,6.773813,9.041972,7.9220757,8.411057
186,16-07-1994 09:00,9.084025,8.88373,6.7638116,9.116612,7.428083,8.493732
187,16-08-1994 09:00,8.522055,8.303896,6.8752747,9.028424,7.4569945,8.461777
188,15-09-1994 21:00,8.675763,8.736657,6.7324195,8.724057,8.120821,9.341108
189,16-10-1994 09:00,8.656271,9.153673,6.681502,8.9538555,8.172384,9.551593
190,15-11-1994 21:00,8.584501,8.156265,6.2160616,8.791222,7.072951,9.680226
191,16-12-1994 09:00,6.851857,6.4489746,5.8708787,7.685591,7.080142,8.741683
192,16-01-1995 09:00,7.0907183,6.644819,6.0262427,7.7430077,7.0315995,8.426903
193,14-02-1995 21:00,7.0913687,6.9456587,6.222913,7.514754,7.562555,8.644789
194,16-03-1995 09:00,7.109089,6.9752984,7.18907,8.005492,8.667027,8.526654
195,15-04-1995 21:00,7.230118,7.6655016,7.4312277,9.000574,8.15587,7.6323805
196,16-05-1995 09:00,7.364507,7.951604,6.9438944,8.555632,7.968698,7.8255296
197,15-06-1995 21:00,8.593111,8.962282,7.3103004,9.064211,8.15159,8.494162
198,16-07-1995 09:00,9.516349,9.281748,7.328295,9.250092,7.672644,8.224312
199,16-08-1995 09:00,8.77229,8.905439,7.3306932,9.042142,8.457172,9.251206
200,15-09-1995 21:00,8.367752,8.424936,7.5388045,8.613673,8.635752,9.142214
201,16-10-1995 09:00,7.819918,7.9103775,7.6054397,8.760414,8.86392,9.606344
202,15-11-1995 21:00,8.45503,8.22728,6.8271875,8.559571,7.356295,7.9009323
203,16-12-1995 09:00,7.0250306,7.2259736,5.9330835,7.9143624,6.904761,8.837895
204,16-01-1996 09:00,6.50605,6.8378043,6.112153,7.793666,7.491268,8.997877
205,15-02-1996 09:00,7.056318,6.9449224,6.0325384,8.284581,7.9402895,9.1770735
206,16-03-1996 09:00,7.478087,7.136209,6.760718,8.110258,7.651282,7.6232085
207,15-04-1996 21:00,7.339003,7.3983407,6.890795,8.3315325,8.171572,7.8271875
208,16-05-1996 09:00,6.8781233,7.5945406,6.709793,8.555809,7.904785,8.219204
209,15-06-1996 21:00,9.191367,9.4358015,6.579665,9.206758,7.875815,8.610982
210,16-07-1996 09:00,9.175357,9.103031,6.8536034,9.009372,8.074127,8.580248
211,16-08-1996 09:00,8.342365,8.364281,7.8420935,8.889241,8.6245165,8.668093
212,15-09-1996 21:00,7.6315384,8.04401,6.51896,7.8266883,8.670683,9.204248
213,16-10-1996 09:00,7.416439,7.6434426,7.2685404,8.122832,8.002592,9.227087
214,15-11-1996 21:00,7.318442,7.323953,6.708043,8.574974,7.1632767,8.624253
215,16-12-1996 09:00,6.0735908,6.694462,5.97239,7.4721174,6.3095083,7.7662086
216,16-01-1997 09:00,5.819785,5.920788,6.376343,7.837232,7.1011024,8.382461
217,14-02-1997 21:00,6.6504083,6.4749146,7.325212,7.883376,8.4717,8.635149
218,16-03-1997 09:00,6.9016256,6.755356,6.6893363,8.197127,7.489207,7.7716956
219,15-04-1997 21:00,7.7768493,8.080636,6.5330744,8.806387,7.79047,8.026767
220,16-05-1997 09:00,7.643532,8.202932,7.574459,9.597351,8.92381,8.878408
221,15-06-1997 21:00,8.425681,8.645302,6.4352493,9.134406,7.5663347,8.447821
222,16-07-1997 09:00,9.40954,9.165373,6.764464,8.978381,7.546546,8.5804825
223,16-08-1997 09:00,8.700819,8.537537,6.818292,8.913206,7.6855164,8.70903
224,15-09-1997 21:00,7.7442284,8.4237,6.5412664,8.517157,7.838556,8.71757
225,16-10-1997 09:00,8.5786705,9.178014,6.7188277,9.291627,8.770879,10.544105
226,15-11-1997 21:00,7.357061,8.028526,6.5637603,8.475743,7.4003067,9.079733
227,16-12-1997 09:00,6.1691513,6.760249,6.0349793,7.796575,6.3175697,7.116075
228,16-01-1998 09:00,6.2500525,6.535426,5.8245106,7.389039,6.8566194,7.9273787
229,14-02-1998 21:00,7.02698,6.6054945,5.740313,7.2760544,7.15948,8.3589325
230,16-03-1998 09:00,6.9464355,6.9486694,6.46502,7.9708085,7.9931793,8.525267
231,15-04-1998 21:00,6.8941026,7.3863792,6.709684,8.972001,7.598958,7.6442175
